algorithm,instance,seed,log_path,final_best_from_log,final_best_contributor_destroy,final_best_contributor_repair,n_iterations_in_log
ALNS-B,Example3,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/03_Example3_seed0.log,41.0,destroy_random_window_20pct,repair_gecode_fast,14
ALNS-B,Example3,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/03_Example3_seed1.log,25.0,destroy_exploration,repair_exploration,16
ALNS-B,Example3,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/03_Example3_seed2.log,12.0,destroy_all_forbidden_sequences,repair_chuffed_fast,38
ALNS-B,Example4,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/04_Example4_seed0.log,2.0,destroy_worst_days_10pct,repair_chuffed_long,57
ALNS-B,Example4,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/04_Example4_seed1.log,4.0,destroy_worst_days_10pct,repair_chuffed_long,59
ALNS-B,Example4,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/04_Example4_seed2.log,3.0,destroy_worst_days_10pct,repair_chuffed_long,72
ALNS-B,Example5,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/05_Example5_seed0.log,5.0,destroy_streak_around_worst_worker,repair_chuffed_long,43
ALNS-B,Example5,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/05_Example5_seed1.log,3.0,destroy_worst_days_10pct,repair_chuffed_fast,59
ALNS-B,Example5,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/05_Example5_seed2.log,5.0,destroy_exploration,repair_exploration,37
ALNS-B,Example6,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/06_Example6_seed0.log,4.0,destroy_exploration,repair_exploration,68
