algorithm,instance,instance_index,operator_type,operator_name,mean_selection_share,mean_improvement_probability,mean_acceptance_rate,mean_improving_delta
ALNS-A,Example14,14,repair,repair_gecode_long,0.24985092426952893,0.37777777777777777,0.5518518518518519,-4.166666666666667
ALNS-A,Example14,14,destroy,destroy_all_forbidden_sequences,0.07990459153249851,0.3611111111111111,1.0,-26.333333333333332
ALNS-A,Example14,14,destroy,destroy_random_workers_20pct,0.09272510435301133,0.16666666666666666,0.38888888888888884,-4.5
ALNS-A,Example14,14,repair,repair_chuffed_fast,0.304412641621944,0.20994152046783623,0.583625730994152,-5.7
ALNS-A,Example14,14,destroy,destroy_worst_workers_30pct,0.16487775790101375,0.047619047619047616,0.10317460317460318,-1.0
ALNS-A,Example14,14,destroy,destroy_worst_days_30pct,0.04382826475849732,0.0,0.0,nan
ALNS-A,Example14,14,destroy,destroy_exploration,0.042486583184257604,0.25,0.5,-1.0
ALNS-A,Example14,14,repair,repair_exploration,0.042486583184257604,0.25,0.5,-1.0
ALNS-A,Example14,14,destroy,destroy_max_border_shift_1,0.023255813953488372,0.5,1.0,-37.0
ALNS-A,Example14,14,destroy,destroy_max_border_shift_2,0.046511627906976744,0.0,1.0,nan
ALNS-A,Example14,14,destroy,destroy_random_days_20pct,0.046511627906976744,0.0,0.5,nan
ALNS-A,Example14,14,destroy,destroy_worst_workers_10pct,0.023255813953488372,0.5,1.0,-9.0
ALNS-B,Example0,0,destroy,destroy_streak_around_worst_worker,0.24822573260073258,0.3191721132897603,0.3562091503267974,-1.5833333333333333
ALNS-B,Example0,0,repair,repair_chuffed_long,0.1027930402930403,0.06060606060606061,0.14393939393939395,-1.0
ALNS-B,Example0,0,repair,repair_gecode_fast,0.25864239926739924,0.03812636165577342,0.03812636165577342,-1.0
